DAY,CORRECTNESS,NUM_RESULT_OWNERS,NUM_QUESTIONS
2018-10-14,3,1725,6556
2018-07-08,2,1084,4684
2018-09-01,2,1453,8520
2018-11-10,3,935,3436
2018-05-06,1,1367,11519
2018-07-07,1,1043,8367
2018-05-05,2,939,4579
2018-05-26,3,517,2026
2018-11-02,1,245478,912149
2018-11-05,1,287581,1037392
2018-04-02,2,8905,67216
2018-09-21,3,31322,112422
2018-04-06,1,11600,103987
2018-10-30,3,119375,289544
2018-08-24,1,51399,459950
2018-08-02,2,2750,19354
2018-09-05,3,33240,119797
2018-05-03,3,7703,28720
2018-08-30,1,64282,573644
2018-09-28,1,61990,538745
2018-10-04,3,25497,87948
2018-01-02,1,7130,68899
2018-10-14,1,3369,32014
2018-05-08,2,14587,87412
2018-07-25,3,1302,5001
2018-07-03,2,2862,17595
2018-06-23,1,1185,9907
2018-06-19,1,6396,67016
2018-01-01,1,1112,11249
2018-07-23,2,2536,14363
2018-05-28,3,1041,4225
2018-07-24,3,1432,5404
2018-07-05,2,2481,13772
2018-07-30,3,1868,7682
2018-07-28,2,768,3555
2018-10-20,3,1127,4062
2018-08-11,1,993,7438
2018-07-21,1,1018,8778
2018-06-17,2,919,4509
2018-05-18,1,11319,101223
2018-03-09,2,16391,130258
2018-11-09,3,81444,205203
2018-02-21,2,17379,134494
2018-04-27,2,13137,76870
2018-09-20,2,71618,463198
2018-09-07,2,80543,556811
2018-09-26,2,61398,366545
2018-04-13,3,7598,28481
2018-11-27,1,48448,377514
2018-02-22,1,16327,144163
2018-08-10,2,16536,120183
2018-05-16,3,6618,26058
2018-05-09,3,7317,25813
2018-01-27,1,1209,9990
2018-06-12,3,4567,19690
2018-05-19,3,568,1997
2018-08-19,2,1643,10622
2018-01-15,1,3408,34329
2018-08-18,1,1363,12463
2018-01-28,2,1842,14815
2018-07-22,3,648,2451
2018-11-21,1,9572,81888
2018-11-23,1,1723,15244
2018-06-03,3,737,2715
2018-07-22,1,1133,8738
2018-06-17,1,1076,9206
2018-07-01,3,554,1862
2018-10-21,1,50270,169630
2018-03-13,2,15068,112561
2018-10-26,2,235025,739855
2018-08-21,1,42113,355626
2018-10-22,3,151883,364726
2018-11-08,1,288569,1023604
2018-03-09,1,16214,150689
2018-06-05,3,4942,19027
2018-08-07,2,7311,50222
2018-10-15,3,25139,85030
2018-09-28,3,26972,96264
2018-11-14,1,49842,406806
2018-10-09,2,53915,322918
2018-10-07,3,1600,6539
2018-10-05,3,22532,76883
2018-02-08,2,18322,157502
2018-08-15,3,12374,46898
2018-06-12,1,9317,96372
2018-01-15,2,3438,31758
2018-01-03,1,11720,107446
2018-01-06,2,1168,9210
2018-09-15,3,1178,4837
2018-09-02,3,1122,5897
2018-07-13,3,855,2976
2018-05-27,2,1038,5208
2018-04-28,3,601,2273
2018-07-29,1,1038,10292
2018-10-24,2,329074,994965
2018-08-23,2,50066,343205
2018-11-05,3,107726,264511
2018-02-27,2,17492,128425
2018-04-23,1,17085,153890
2018-02-07,1,16553,148865
2018-06-20,1,5176,50602
2018-08-28,1,57311,518833
2018-01-05,1,10759,115022
2018-11-20,2,35096,225793
2018-08-27,3,24031,90145
2018-09-07,3,38467,147048
2018-08-10,3,7971,29832
2018-05-08,1,15125,138489
2018-06-04,1,11184,112998
2018-02-09,1,15719,142688
